,pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1926624,3576885,1526344121.18809,0,1,0,2,0,-1,192.168.100.3,0,4,240,0,2,1526345317.18469,9,1195.996582,6e-06,2e-06,1.1e-05,4e-06,7.000000000000002e-06,2,2,120,120,0.002508,0.0008359999999999999,0.0008359999999999999,360,49500,6,825,32,32,0.00501674,0.00334449,85,2,0.00568806,0.00568806,4,6,0,1,1
1926625,3576886,1526344223.19748,0,1,2,1,12,139,192.168.100.4,19,10,680,0,2,1526345677.14341,10,1453.945923,2.8000000000000006e-05,8e-06,0.000138,2.2e-05,4.2e-05,5,5,350,330,0.00619,0.002751,0.002751,1766,680,14,10,10,10,0.00687783,0.00687783,1,2,0.00687783,0.00687783,10,10,0,1,1
1926626,3576887,1526344227.0293698,0,1,3,3,3,51838,27.124.125.250,5,2,180,0,2,1526344227.07794,11,0.048565,0.048565,0.0,0.048565,0.048565,0.048565,1,1,90,90,20.59096,0.0,0.0,11444,180,188,2,843,2,0.552038,41.1819,1,26,41.1819,41.1819,2,4,0,1,1
1926627,3576888,1526344228.31232,0,1,0,2,7,-1,192.168.100.7,0,10,510,0,2,1526345682.3926196,12,1454.080322,0.000238,2.2e-05,0.001189,0.000199,0.000261,5,5,210,300,0.006189,0.002751,0.002751,510,510,10,10,32,32,0.006877199999999999,0.006877199999999999,1,1,0.00568806,0.00568806,10,10,0,1,1
1926628,3576889,1526344302.6363401,0,1,3,3,5,58999,192.168.100.1,2,4,630,0,2,1526344872.57028,14,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,2,2,174,456,0.005264,0.001755,0.001755,870,1590,8,20,843,16,0.00701836,0.00701836,4,2,0.00701836,0.0275885,4,4,0,1,1
1926629,3576890,1526344302.81459,0,1,0,2,0,-1,192.168.100.27,0,2,120,0,2,1526344302.81496,15,0.000367,0.000367,0.0,0.000367,0.000367,0.000367,1,1,60,60,2724.795654,0.0,0.0,360,120,6,2,32,32,0.00501674,5449.59,1,2,0.00568806,0.00568806,2,6,0,1,1
1926630,3576891,1526344307.70243,0,1,0,2,5,-1,192.168.100.1,0,4,240,0,2,1526344877.5583699,16,569.855957,0.000122,2.5e-05,0.000243,9.7e-05,0.000146,2,2,120,120,0.005264,0.001755,0.001755,870,1590,8,20,32,32,0.00701932,0.0053768,4,2,0.00568806,0.00568806,16,4,0,1,1
1926631,3576892,1526344326.4333901,0,1,3,3,4,58360,192.168.217.2,2,2,172,2,4,1526344328.93349,18,2.500101,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399984,0.399984,0.0,704,688,10,8,843,16,1.59514,0.799726,4,3,0.799968,0.0275885,8,2,0,1,1
1926632,3576893,1526344328.39924,0,1,3,3,3,37214,192.168.217.2,2,2,172,2,4,1526344330.90034,41,2.501101,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399824,0.399824,0.0,11444,688,188,8,843,16,0.552038,0.799726,4,26,0.7996479999999999,0.0275885,8,178,0,1,1
1926633,3576894,1526344331.59212,0,1,0,2,4,-1,192.168.100.1,0,6,360,0,2,1526345483.84877,65,1152.256592,9.1e-05,1.4e-05,0.000273,7.5e-05,0.000109,3,3,180,180,0.004339,0.001736,0.001736,704,1590,10,20,32,32,0.00520717,0.0053768,4,3,0.00568806,0.00568806,16,6,0,1,1
1926634,3576895,1526344332.46552,0,1,3,3,12,138,192.168.100.255,7,4,1086,2,4,1526345060.83637,104,728.37085,7.7e-05,1.6e-05,0.000154,6.1e-05,9.3e-05,4,0,1086,0,0.004118999999999999,0.004118999999999999,0.0,1766,1086,14,4,843,4,0.00549171,0.00549171,1,2,0.00549171,0.00549171,4,4,0,1,1
1926635,3576896,1526344332.93344,0,1,3,3,4,57950,8.8.8.8,2,2,172,0,2,1526344332.94096,107,0.007523,0.007523,0.0,0.007523,0.007523,0.007523,1,1,86,86,132.925705,0.0,0.0,704,344,10,4,843,16,1.59514,262.795,2,3,265.851,0.0275885,4,2,0,1,1
